"Timestamp","What is your Age?","Do you have experiences in perception tests?","What type of device are you now using?","Do you have any visual impairments?","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","  Does this image give you a sense of depth?","Rate your Visual Comfort while viewing this image","What are your thoughts on 3D wiggle stereoscopy? ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/01/21 10:47:00 PM GMT+1","25-30","Yes","Tablet","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","4","5","3","4","3","3","3","3","4","3","3","2","3","4","2","4","5","3","5","4","3","4","3","2","3","3","2","2","4"
"2025/01/21 11:30:43 PM GMT+1","50+","Yes","Phone","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2025/01/27 7:46:40 PM GMT+1","20-30","No","Laptop","No","4","4","5","5","3","4","4","4","3","3","3","2","4","5","3","4","4","4","3","4","3","2","3","5","4","3","4","4","4","4","3","2","3","4","4","3","3","4","3","5","3","2","3","3","4","4","4","3","4","2","4","2","3","3","3","4","4","4","4","5","3","3","3","3","4","3","4","2","4","4","3","4","3","2","3","4","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/01/27 8:31:28 PM GMT+1","20-30","No","Laptop","No","3","2","1","1","4","3","2","3","4","3","4","1","3","3","4","4","4","1","4","3","4","1","3","3","4","2","4","2","3","3","4","2","4","2","2","3","3","3","3","3","4","2","4","2","3","3","3","2","4","2","4","2","4","1","4","2","4","2","3","3","4","2","4","2","4","2","4","2","4","2","3","3","4","2","4","2","4","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/01/27 8:43:14 PM GMT+1","30-40","No","Phone","No","3","2","3","2","3","3","1","1","1","3","1","2","1","2","2","2","1","1","1","2","1","2","2","2","2","2","1","1","2","2","2","1","2","1","2","2","2","2","1","2","2","1","2","1","1","1","2","2","2","1","2","1","2","1","1","1","2","1","2","2","2","1","2","1","2","2","2","2","2","1","2","2","2","1","3","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/01/27 8:59:24 PM GMT+1","20-30","Yes","Phone","Yes","3","2","2","3","4","3","2","3","1","3","1","2","2","3","2","2","2","2","1","3","2","3","2","3","2","3","3","3","3","3","3","3","2","3","3","3","2","3","2","2","3","3","2","2","3","3","3","3","2","2","2","3","3","3","2","2","3","3","2","3","3","3","2","3","3","3","3","3","3","3","3","3","3","3","2","3","1","1","I found this technique very creative technique to simulate depth perception by alternating between two images.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/01/28 10:09:22 AM GMT+1","20-30","No","Laptop","No","4","4","3","3","4","3","3","3","2","4","2","2","3","3","4","3","3","2","3","3","2","1","1","4","3","2","3","3","4","4","4","1","2","2","3","3","2","3","3","3","3","2","4","2","4","4","3","3","4","3","3","2","3","2","4","2","4","2","2","4","2","1","4","3","2","3","3","2","3","3","2","2","2","1","3","2","3","2","I find this effect pretty interesting and also think, for it to be better perceived, the images must have exactly the same dimensions. I really hope my comment is useful to the author.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/01/28 10:29:30 AM GMT+1","20-30","No","Phone","No","4","4","4","4","5","4","3","3","2","4","2","2","3","3","4","2","3","2","2","2","2","2","1","5","2","3","4","4","3","4","5","3","3","4","4","4","3","3","3","3","4","4","2","4","4","4","4","3","2","4","4","4","2","4","3","3","4","4","2","5","3","4","2","2","4","4","2","4","3","3","3","4","2","4","5","4","2","3","3D Wiggle Stereoscopy creates a depth illusion by rapidly switching between two slightly different images. This mimics human vision, making objects appear three-dimensional without special glasses. It’s popular in GIFs and photography but can feel jittery.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/01/28 10:46:52 AM GMT+1","30-40","No","Laptop","No","5","3","4","5","3","4","2","2","2","3","2","2","3","3","4","3","3","2","2","2","2","2","1","4","2","3","4","3","4","2","2","1","4","3","3","3","2","2","4","4","2","1","3","2","3","2","3","1","3","3","1","1","4","1","4","2","3","2","3","3","4","2","2","2","2","3","3","2","4","2","4","4","3","1","4","3","4","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/01/28 11:24:45 AM GMT+1","20-30","Yes","Laptop","No","3","3","3","2","2","3","3","3","4","4","3","2","4","3","5","3","4","2","4","3","4","2","3","4","4","3","4","3","4","3","3","2","4","3","4","3","4","3","4","4","3","2","3","2","4","4","4","3","4","3","4","2","2","1","4","3","4","3","4","4","4","3","3","2","4","4","3","2","4","2","4","3","2","2","3","2","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
